x,freq
-4.15139246,1
-3.859675358,0
-3.567958256,2
-3.276241155,4
-2.984524053,20
-2.692806951,66
-2.401089849,121
-2.109372747,246
-1.817655646,488
-1.525938544,877
-1.234221442,1314
-0.94250434,1930
-0.650787238,2639
-0.359070137,3219
-0.067353035,3585
0.224364067,3637
0.516081169,3419
0.807798271,3042
1.099515372,2385
1.391232474,1706
1.682949576,1183
1.974666678,773
2.266383779,421
2.558100881,212
2.849817983,138
3.141535085,81
3.433252187,19
3.724969288,13
4.01668639,7
4.308403492,4
