capacity,model,bleu
1,AAE,0.018944944
2,AAE,0.017953578
3,AAE,0.017677541
4,AAE,0.017348753
1,GPT2,0.661894216
2,GPT2,0.626490042
3,GPT2,0.577498256
4,GPT2,0.552991703
1,Multi-Path,0.073479235
2,Multi-Path,0.062351364
3,Multi-Path,0.050354901
4,Multi-Path,0.046591355
1,Analogical,0.164212731
2,Analogical,0.162196597
3,Analogical,0.155027335
4,Analogical,0.151464474
1,Wandering,0.05223744
2,Wandering,0.0441943
3,Wandering,0.0399203
4,Wandering,0.032978
