x,freq
-5.247049332,1
-4.869102922,2
-4.491156512,3
-4.113210103,6
-3.735263693,11
-3.357317283,26
-2.979370874,43
-2.601424464,111
-2.223478054,172
-1.845531644,291
-1.467585235,506
-1.089638825,1235
-0.711692415,3139
-0.333746006,8359
0.044200404,7831
0.422146814,3120
0.800093223,1322
1.178039633,773
1.555986043,602
1.933932452,580
2.311878862,657
2.689825272,745
3.067771681,726
3.445718091,620
3.823664501,370
4.20161091,176
4.57955732,69
4.95750373,36
5.33545014,18
5.713396549,2
